# n=22 L=232792560 bpd=28
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
6 0 1
7 0 1
8 0 1
9 0 1
10 0 1
11 0 1
12 0 1
13 0 1
14 0 1
15 0 1
16 0 1
17 0 1
18 0 1
19 0 1
20 0 1
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 1
29 0 1
30 0 1
31 0 1
32 0 2
33 0 1
34 0 1
35 0 2
36 0 1
37 0 2
38 0 2
39 0 2
40 0 3
41 0 2
42 0 3
43 0 3
44 0 3
45 0 3
46 0 4
47 1 4
48 0 5
49 1 5
50 0 5
51 1 5
52 0 7
53 0 6
54 0 8
55 0 8
56 0 8
57 1 9
58 2 10
59 1 11
60 1 12
61 0 13
62 0 14
63 0 16
64 1 16
65 0 18
66 0 20
67 2 21
68 2 23
69 0 25
70 0 27
71 3 29
72 2 32
73 1 35
74 2 38
75 3 40
76 1 45
77 3 48
78 2 52
79 4 57
80 4 62
81 0 67
82 3 73
83 4 79
84 4 85
85 6 93
86 4 101
87 7 110
88 4 119
89 6 129
90 8 141
91 6 152
92 7 166
93 8 179
94 7 195
95 9 212
96 13 230
97 15 250
98 11 271
99 15 294
100 11 320
101 15 346
102 17 377
103 21 409
104 20 444
105 19 482
106 22 523
107 26 568
108 30 617
109 31 670
110 33 727
111 35 790
112 41 857
113 42 930
114 45 1011
115 51 1096
116 53 1191
117 65 1293
118 64 1404
119 68 1524
120 71 1655
121 79 1797
122 82 1951
123 92 2117
124 100 2300
125 117 2496
126 117 2711
127 134 2942
128 133 3195
129 154 3469
130 173 3766
131 192 4089
132 201 4440
133 213 4820
134 233 5233
135 252 5681
136 276 6169
137 299 6697
138 313 7271
139 365 7895
140 389 8571
141 415 9305
142 453 10104
143 491 10969
144 530 11910
145 565 12930
146 622 14038
147 694 15242
148 728 16548
149 805 17967
150 882 19507
151 915 21178
152 1043 22994
153 1099 24964
154 1217 27105
155 1295 29427
156 1422 31949
157 1557 34689
158 1668 37661
159 1823 40889
160 1971 44394
161 2133 48199
162 2327 52330
163 2515 56815
164 2732 61685
165 2943 66972
166 3207 72713
167 3467 78945
168 3776 85711
169 4086 93057
170 4426 101034
171 4789 109693
172 5191 119095
173 5640 129303
174 6097 140386
175 6591 152418
176 7132 165482
177 7742 179666
178 8364 195066
179 9043 211784
180 9778 229937
181 10569 249645
182 11417 271043
183 12324 294273
184 13314 319496
185 14363 346881
186 15472 376612
187 16716 408892
188 17959 443939
189 19324 481989
190 20801 523301
191 22313 568153
192 23976 616851
193 25715 669721
194 27523 727125
195 29466 789447
196 31450 857111
197 33587 930575
198 35737 1010336
199 38013 1096932
200 40335 1190953
201 42708 1293030
202 45082 1403857
203 47526 1524183
204 49910 1654822
205 52290 1796660
206 54559 1950653
207 56721 2117845
208 58721 2299369
209 60466 2496450
210 61965 2710424
211 63103 2942737
212 63834 3194962
213 64108 3468806
214 63821 3766121
215 62881 4088920
216 61348 4439386
217 59056 4819890
218 56010 5233009
219 52308 5681536
220 47836 6168506
221 42800 6697216
222 37250 7271242
223 31413 7894469
224 25465 8571111
225 19700 9305752
226 14382 10103358
227 9735 10969328
228 5988 11909521
229 3255 12930300
230 1489 14038571
231 542 15241831
232 143 16548227
233 17 17966593
234 1 5207969
235 0 0
