# n=9 L=2520 bpd=28
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
6 0 1
7 0 1
8 0 1
9 0 1
10 0 1
11 0 1
12 0 1
13 0 1
14 0 1
15 0 1
16 0 1
17 0 1
18 0 1
19 0 1
20 0 1
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 1
29 0 1
30 1 1
31 0 1
32 0 2
33 1 1
34 0 1
35 1 2
36 0 1
37 1 2
38 0 2
39 1 2
40 1 3
41 1 2
42 1 3
43 2 3
44 0 3
45 1 3
46 2 4
47 1 4
48 1 5
49 2 5
50 2 5
51 1 5
52 3 7
53 2 6
54 4 8
55 3 8
56 4 8
57 3 9
58 3 10
59 4 11
60 5 12
61 7 13
62 6 14
63 5 16
64 6 16
65 7 18
66 9 20
67 6 21
68 8 23
69 9 25
70 8 27
71 9 29
72 10 32
73 11 35
74 13 38
75 12 40
76 12 45
77 13 48
78 12 52
79 12 57
80 15 62
81 15 67
82 13 73
83 11 79
84 14 85
85 14 93
86 11 101
87 12 110
88 9 119
89 9 129
90 6 141
91 7 152
92 2 166
93 4 179
94 0 195
95 1 51
96 0 0
