# n=28 L=80313433200 bpd=28
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 1
9 0 0
10 0 0
11 0 0
12 0 0
13 0 1
14 0 0
15 0 0
16 0 1
17 0 0
18 0 0
19 0 1
20 0 0
21 0 1
22 0 0
23 0 1
24 0 0
25 0 1
26 0 1
27 0 1
28 0 0
29 0 1
30 0 1
31 0 1
32 0 2
33 0 1
34 0 1
35 0 2
36 0 1
37 0 2
38 0 2
39 0 2
40 0 3
41 0 2
42 0 3
43 0 3
44 0 3
45 0 3
46 0 4
47 0 4
48 0 5
49 0 5
50 0 5
51 0 5
52 0 7
53 0 6
54 0 8
55 0 8
56 1 8
57 0 9
58 0 10
59 0 11
60 0 12
61 0 13
62 0 14
63 1 16
64 0 16
65 0 18
66 0 20
67 0 21
68 0 23
69 0 25
70 1 27
71 0 29
72 0 32
73 1 35
74 0 38
75 0 40
76 1 45
77 2 48
78 1 52
79 1 57
80 0 62
81 2 67
82 1 73
83 0 79
84 1 85
85 0 93
86 2 101
87 2 110
88 2 119
89 4 129
90 0 141
91 0 152
92 2 166
93 2 179
94 3 195
95 1 212
96 2 230
97 8 250
98 2 271
99 6 294
100 5 320
101 6 346
102 4 377
103 3 409
104 5 444
105 6 482
106 5 523
107 8 568
108 5 617
109 8 670
110 11 727
111 9 790
112 12 857
113 6 930
114 13 1011
115 13 1096
116 17 1191
117 18 1293
118 17 1404
119 19 1524
120 25 1655
121 16 1797
122 24 1951
123 28 2117
124 25 2300
125 32 2496
126 27 2711
127 37 2942
128 34 3195
129 45 3469
130 49 3766
131 47 4089
132 51 4440
133 59 4820
134 64 5233
135 65 5681
136 74 6169
137 86 6697
138 87 7271
139 96 7895
140 108 8571
141 109 9305
142 117 10104
143 153 10969
144 135 11910
145 144 12930
146 162 14038
147 191 15242
148 202 16548
149 209 17967
150 252 19507
151 256 21178
152 277 22994
153 283 24964
154 344 27105
155 365 29427
156 379 31949
157 421 34689
158 469 37661
159 497 40889
160 530 44394
161 593 48199
162 626 52330
163 691 56815
164 738 61685
165 821 66972
166 886 72713
167 957 78945
168 1022 85711
169 1108 93057
170 1217 101034
171 1348 109693
172 1444 119095
173 1575 129303
174 1703 140386
175 1842 152418
176 1991 165482
177 2168 179666
178 2370 195066
179 2566 211784
180 2808 229937
181 2994 249645
182 3302 271043
183 3581 294273
184 3924 319496
185 4192 346881
186 4580 376612
187 4979 408892
188 5388 443939
189 5887 481989
190 6357 523301
191 6904 568153
192 7460 616851
193 8107 669721
194 8802 727125
195 9560 789447
196 10320 857111
197 11289 930575
198 12289 1010336
199 13304 1096932
200 14454 1190953
201 15729 1293030
202 17014 1403857
203 18436 1524183
204 19965 1654822
205 21771 1796660
206 23722 1950653
207 25684 2117845
208 27783 2299369
209 30214 2496450
210 32880 2710424
211 35623 2942737
212 38587 3194962
213 42059 3468806
214 45557 3766121
215 49368 4088920
216 53704 4439386
217 58184 4819890
218 63283 5233009
219 68593 5681536
220 74384 6168506
221 80878 6697216
222 87646 7271242
223 95077 7894469
224 103180 8571111
225 112029 9305752
226 121497 10103358
227 131957 10969328
228 143083 11909521
229 155098 12930300
230 168331 14038571
231 182442 15241831
232 197980 16548227
233 214658 17966593
234 232682 19506530
235 252290 21178457
236 273486 22993686
237 296425 24964501
238 321244 27104235
239 348064 29427371
240 377035 31949623
241 408473 34688061
242 442218 37661213
243 478787 40889198
244 518324 44393858
245 560843 48198904
246 606530 52330087
247 656093 56815357
248 709432 61685064
249 766501 66972161
250 827841 72712419
251 894199 78944683
252 964890 85711119
253 1040859 93057515
254 1122186 101033579
255 1208867 109693281
256 1301838 119095214
257 1400525 129302998
258 1505771 140385704
259 1617275 152418318
260 1735388 165482264
261 1860432 179665934
262 1992044 195065301
263 2130371 211784568
264 2275276 229936859
265 2426399 249645006
266 2583294 271042358
267 2745708 294273702
268 2912417 319496230
269 3082899 346880610
270 3255717 376612136
271 3429344 408891983
272 3602027 443938572
273 3771692 481989045
274 3935975 523300865
275 4091872 568153569
276 4236122 616850646
277 4365344 669721606
278 4475486 727124194
279 4562471 789446824
280 4621276 857111194
281 4648464 930575153
282 4638477 1010335792
283 4588025 1096932804
284 4492662 1190952143
285 4350218 1293029983
286 4158635 1403857031
287 3918446 1524183188
288 3631328 1654822636
289 3301678 1796659336
290 2936748 1950653019
291 2546224 2117845673
292 2142605 2299368597
293 1740252 2496450052
294 1355241 2710423581
295 1003095 2942737021
296 697750 3194962304
297 449578 3468806100
298 262991 3766121354
299 135958 4088919831
300 59834 4439385727
301 21191 4819890446
302 5609 5233008653
303 946 5681535682
304 87 6168506465
305 0 2176359435
306 0 0
