# n=24 L=5354228880 bpd=28
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 1
9 0 0
10 0 0
11 0 0
12 0 0
13 0 1
14 0 0
15 0 0
16 0 1
17 0 0
18 0 0
19 0 1
20 0 0
21 0 1
22 0 0
23 0 1
24 0 0
25 0 1
26 0 1
27 0 1
28 0 0
29 0 1
30 0 1
31 0 1
32 0 2
33 0 1
34 0 1
35 0 2
36 0 1
37 0 2
38 0 2
39 0 2
40 0 3
41 0 2
42 0 3
43 0 3
44 1 3
45 0 3
46 0 4
47 0 4
48 0 5
49 0 5
50 0 5
51 0 5
52 0 7
53 0 6
54 0 8
55 0 8
56 0 8
57 0 9
58 0 10
59 0 11
60 0 12
61 0 13
62 0 14
63 0 16
64 0 16
65 0 18
66 0 20
67 0 21
68 1 23
69 0 25
70 0 27
71 0 29
72 0 32
73 0 35
74 1 38
75 0 40
76 0 45
77 0 48
78 0 52
79 0 57
80 0 62
81 1 67
82 1 73
83 1 79
84 0 85
85 3 93
86 1 101
87 2 110
88 2 119
89 2 129
90 3 141
91 1 152
92 2 166
93 1 179
94 1 195
95 2 212
96 4 230
97 2 250
98 5 271
99 5 294
100 3 320
101 2 346
102 3 377
103 3 409
104 3 444
105 7 482
106 6 523
107 6 568
108 4 617
109 9 670
110 10 727
111 10 790
112 11 857
113 15 930
114 10 1011
115 12 1096
116 10 1191
117 13 1293
118 14 1404
119 19 1524
120 15 1655
121 21 1797
122 25 1951
123 22 2117
124 22 2300
125 24 2496
126 32 2711
127 31 2942
128 39 3195
129 44 3469
130 47 3766
131 43 4089
132 48 4440
133 53 4820
134 59 5233
135 55 5681
136 71 6169
137 78 6697
138 81 7271
139 83 7895
140 101 8571
141 100 9305
142 109 10104
143 123 10969
144 141 11910
145 127 12930
146 160 14038
147 170 15242
148 181 16548
149 189 17967
150 227 19507
151 230 21178
152 254 22994
153 278 24964
154 304 27105
155 325 29427
156 353 31949
157 373 34689
158 419 37661
159 443 40889
160 481 44394
161 541 48199
162 568 52330
163 623 56815
164 679 61685
165 735 66972
166 802 72713
167 880 78945
168 933 85711
169 1031 93057
170 1101 101034
171 1207 109693
172 1302 119095
173 1431 129303
174 1544 140386
175 1679 152418
176 1822 165482
177 1978 179666
178 2136 195066
179 2325 211784
180 2529 229937
181 2743 249645
182 2981 271043
183 3220 294273
184 3499 319496
185 3818 346881
186 4124 376612
187 4467 408892
188 4889 443939
189 5257 481989
190 5749 523301
191 6196 568153
192 6753 616851
193 7315 669721
194 7947 727125
195 8621 789447
196 9344 857111
197 10145 930575
198 10983 1010336
199 11933 1096932
200 12939 1190953
201 14019 1293030
202 15205 1403857
203 16496 1524183
204 17865 1654822
205 19390 1796660
206 21003 1950653
207 22722 2117845
208 24648 2299369
209 26681 2496450
210 28937 2710424
211 31294 2942737
212 33896 3194962
213 36661 3468806
214 39686 3766121
215 42898 4088920
216 46397 4439386
217 50116 4819890
218 54183 5233009
219 58507 5681536
220 63143 6168506
221 68103 6697216
222 73461 7271242
223 79157 7894469
224 85209 8571111
225 91736 9305752
226 98638 10103358
227 105958 10969328
228 113751 11909521
229 121972 12930300
230 130624 14038571
231 139772 15241831
232 149306 16548227
233 159297 17966593
234 169690 19506530
235 180447 21178457
236 191523 22993686
237 202845 24964501
238 214383 27104235
239 225984 29427371
240 237561 31949623
241 248967 34688061
242 260069 37661213
243 270698 40889198
244 280605 44393858
245 289552 48198904
246 297334 52330087
247 303629 56815357
248 308116 61685064
249 310611 66972161
250 310678 72712419
251 308102 78944683
252 302569 85711119
253 293949 93057515
254 282011 101033579
255 266780 109693281
256 248352 119095214
257 226874 129302998
258 202900 140385704
259 176922 152418318
260 149828 165482264
261 122448 179665934
262 96039 195065301
263 71525 211784568
264 50042 229936859
265 32329 249645006
266 18901 271042358
267 9650 294273702
268 4143 319496230
269 1375 346880610
270 310 376612136
271 48 408891983
272 0 174754201
273 0 0
