# n=8 L=840 bpd=28
0 0 1
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 1
9 0 0
10 0 0
11 0 0
12 0 0
13 0 1
14 0 0
15 0 0
16 1 1
17 0 0
18 0 0
19 1 1
20 0 0
21 1 1
22 0 0
23 1 1
24 0 0
25 0 1
26 0 1
27 0 0
28 1 1
29 0 1
30 1 1
31 0 1
32 2 2
33 0 1
34 0 1
35 1 2
36 1 1
37 1 2
38 1 2
39 1 2
40 2 3
41 1 2
42 2 3
43 1 3
44 2 3
45 1 3
46 2 4
47 2 4
48 4 5
49 1 5
50 2 5
51 3 5
52 4 7
53 3 6
54 3 8
55 3 7
56 4 9
57 5 9
58 5 10
59 3 11
60 6 12
61 4 13
62 6 14
63 5 16
64 5 16
65 7 18
66 7 20
67 6 21
68 6 23
69 6 25
70 7 27
71 6 29
72 6 32
73 5 35
74 6 38
75 5 40
76 4 45
77 4 48
78 2 52
79 2 57
80 2 62
81 0 58
82 0 0
