# n=16 L=720720 bpd=28
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
6 0 1
7 0 1
8 0 1
9 0 1
10 0 1
11 0 1
12 0 1
13 0 1
14 0 1
15 0 1
16 0 1
17 0 1
18 0 1
19 0 1
20 0 1
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 1
29 0 1
30 0 1
31 0 1
32 0 2
33 0 1
34 0 1
35 1 2
36 0 1
37 0 2
38 0 2
39 0 2
40 1 3
41 0 2
42 1 3
43 1 3
44 1 3
45 0 3
46 1 4
47 0 4
48 1 5
49 1 5
50 2 5
51 0 5
52 2 7
53 2 6
54 2 8
55 1 8
56 0 8
57 1 9
58 1 10
59 2 11
60 1 12
61 2 13
62 3 14
63 4 16
64 3 16
65 2 18
66 3 20
67 5 21
68 7 23
69 4 25
70 3 27
71 5 29
72 8 32
73 7 35
74 6 38
75 10 40
76 8 45
77 10 48
78 9 52
79 11 57
80 11 62
81 13 67
82 14 73
83 16 79
84 17 85
85 19 93
86 22 101
87 19 110
88 25 119
89 23 129
90 26 141
91 35 152
92 33 166
93 31 179
94 43 195
95 41 212
96 43 230
97 46 250
98 57 271
99 58 294
100 68 320
101 65 346
102 75 377
103 78 409
104 91 444
105 103 482
106 101 523
107 108 568
108 113 617
109 132 670
110 141 727
111 159 790
112 166 857
113 174 930
114 193 1011
115 211 1096
116 228 1191
117 246 1293
118 263 1404
119 284 1524
120 315 1655
121 327 1797
122 356 1951
123 389 2117
124 407 2300
125 451 2496
126 467 2711
127 513 2942
128 540 3195
129 580 3469
130 625 3766
131 666 4089
132 701 4440
133 751 4820
134 800 5233
135 849 5681
136 889 6169
137 934 6697
138 990 7271
139 1019 7895
140 1062 8571
141 1108 9305
142 1145 10104
143 1173 10969
144 1197 11910
145 1202 12930
146 1210 14038
147 1219 15242
148 1178 16548
149 1142 17967
150 1102 19507
151 1029 21178
152 943 22994
153 852 24964
154 735 27105
155 625 29427
156 498 31949
157 369 34689
158 269 37661
159 171 40889
160 94 44394
161 43 48199
162 15 52330
163 4 56815
164 1 1036
165 0 0
