# n=26 L=26771144400 bpd=28
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 1
9 0 0
10 0 0
11 0 0
12 0 0
13 0 1
14 0 0
15 0 0
16 0 1
17 0 0
18 0 0
19 0 1
20 0 0
21 0 1
22 0 0
23 0 1
24 0 0
25 0 1
26 0 1
27 0 1
28 0 0
29 0 1
30 0 1
31 0 1
32 0 2
33 0 1
34 0 1
35 0 2
36 0 1
37 0 2
38 0 2
39 0 2
40 0 3
41 0 2
42 0 3
43 1 3
44 0 3
45 0 3
46 0 4
47 0 4
48 0 5
49 0 5
50 1 5
51 0 5
52 0 7
53 0 6
54 0 8
55 0 8
56 0 8
57 1 9
58 0 10
59 0 11
60 1 12
61 0 13
62 1 14
63 0 16
64 1 16
65 0 18
66 1 20
67 0 21
68 0 23
69 0 25
70 0 27
71 0 29
72 0 32
73 1 35
74 1 38
75 2 40
76 1 45
77 0 48
78 0 52
79 0 57
80 0 62
81 1 67
82 1 73
83 2 79
84 1 85
85 0 93
86 3 101
87 2 110
88 1 119
89 1 129
90 2 141
91 0 152
92 4 166
93 1 179
94 3 195
95 1 212
96 3 230
97 2 250
98 4 271
99 4 294
100 4 320
101 3 346
102 6 377
103 6 409
104 8 444
105 5 482
106 5 523
107 7 568
108 6 617
109 9 670
110 10 727
111 15 790
112 12 857
113 13 930
114 11 1011
115 14 1096
116 16 1191
117 14 1293
118 19 1404
119 17 1524
120 20 1655
121 24 1797
122 26 1951
123 26 2117
124 37 2300
125 26 2496
126 45 2711
127 36 2942
128 42 3195
129 47 3469
130 50 3766
131 58 4089
132 59 4440
133 64 4820
134 76 5233
135 66 5681
136 78 6169
137 94 6697
138 89 7271
139 94 7895
140 119 8571
141 121 9305
142 134 10104
143 143 10969
144 156 11910
145 173 12930
146 193 14038
147 198 15242
148 218 16548
149 237 17967
150 256 19507
151 280 21178
152 309 22994
153 320 24964
154 366 27105
155 383 29427
156 429 31949
157 456 34689
158 487 37661
159 542 40889
160 600 44394
161 612 48199
162 688 52330
163 742 56815
164 794 61685
165 875 66972
166 982 72713
167 1016 78945
168 1140 85711
169 1217 93057
170 1336 101034
171 1455 109693
172 1564 119095
173 1722 129303
174 1840 140386
175 1996 152418
176 2190 165482
177 2373 179666
178 2579 195066
179 2800 211784
180 3003 229937
181 3279 249645
182 3565 271043
183 3861 294273
184 4208 319496
185 4554 346881
186 4953 376612
187 5383 408892
188 5826 443939
189 6336 481989
190 6877 523301
191 7442 568153
192 8127 616851
193 8834 669721
194 9552 727125
195 10349 789447
196 11251 857111
197 12195 930575
198 13284 1010336
199 14354 1096932
200 15674 1190953
201 16928 1293030
202 18377 1403857
203 20001 1524183
204 21682 1654822
205 23519 1796660
206 25580 1950653
207 27720 2117845
208 30116 2299369
209 32622 2496450
210 35454 2710424
211 38424 2942737
212 41697 3194962
213 45269 3468806
214 49092 3766121
215 53249 4088920
216 57773 4439386
217 62622 4819890
218 68008 5233009
219 73667 5681536
220 79911 6168506
221 86643 6697216
222 93960 7271242
223 101769 7894469
224 110372 8571111
225 119607 9305752
226 129547 10103358
227 140414 10969328
228 152006 11909521
229 164586 12930300
230 178302 14038571
231 192884 15241831
232 208741 16548227
233 225807 17966593
234 244154 19506530
235 264021 21178457
236 285204 22993686
237 308211 24964501
238 332709 27104235
239 359077 29427371
240 387275 31949623
241 417503 34688061
242 449794 37661213
243 484221 40889198
244 520961 44393858
245 559995 48198904
246 601440 52330087
247 645320 56815357
248 691691 61685064
249 740449 66972161
250 791833 72712419
251 845504 78944683
252 901519 85711119
253 959687 93057515
254 1019637 101033579
255 1081432 109693281
256 1144347 119095214
257 1208178 129302998
258 1272184 140385704
259 1335666 152418318
260 1398150 165482264
261 1458305 179665934
262 1515279 195065301
263 1567911 211784568
264 1614704 229936859
265 1654335 249645006
266 1685074 271042358
267 1705443 294273702
268 1713666 319496230
269 1708181 346880610
270 1687430 376612136
271 1650053 408891983
272 1595036 443938572
273 1522070 481989045
274 1431006 523300865
275 1322910 568153569
276 1199455 616850646
277 1063154 669721606
278 918264 727124194
279 769125 789446824
280 621253 857111194
281 480599 930575153
282 352877 1010335792
283 243088 1096932804
284 154731 1190952143
285 89114 1293029983
286 45167 1403857031
287 19381 1524183188
288 6612 1654822636
289 1640 1796659336
290 269 1950653019
291 14 2062032121
292 0 0
