# n=18 L=12252240 bpd=28
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
6 0 1
7 0 1
8 0 1
9 0 1
10 0 1
11 0 1
12 0 1
13 0 1
14 0 1
15 0 1
16 0 1
17 0 1
18 0 1
19 0 1
20 0 1
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 1
29 0 1
30 0 1
31 0 1
32 1 2
33 0 1
34 0 1
35 0 2
36 0 1
37 0 2
38 0 2
39 0 2
40 0 3
41 0 2
42 0 3
43 0 3
44 0 3
45 0 3
46 0 4
47 0 4
48 0 5
49 0 5
50 0 5
51 0 5
52 0 7
53 1 6
54 0 8
55 1 8
56 1 8
57 0 9
58 2 10
59 0 11
60 1 12
61 0 13
62 3 14
63 0 16
64 1 16
65 1 18
66 0 20
67 1 21
68 2 23
69 3 25
70 1 27
71 3 29
72 3 32
73 1 35
74 4 38
75 1 40
76 2 45
77 2 48
78 5 52
79 7 57
80 3 62
81 4 67
82 2 73
83 6 79
84 4 85
85 7 93
86 8 101
87 8 110
88 8 119
89 5 129
90 8 141
91 13 152
92 8 166
93 12 179
94 13 195
95 8 212
96 16 230
97 16 250
98 16 271
99 20 294
100 23 320
101 18 346
102 27 377
103 28 409
104 29 444
105 30 482
106 36 523
107 42 568
108 36 617
109 44 670
110 46 727
111 54 790
112 61 857
113 61 930
114 64 1011
115 68 1096
116 79 1191
117 84 1293
118 96 1404
119 94 1524
120 109 1655
121 113 1797
122 125 1951
123 139 2117
124 145 2300
125 167 2496
126 177 2711
127 194 2942
128 201 3195
129 217 3469
130 243 3766
131 266 4089
132 290 4440
133 306 4820
134 336 5233
135 362 5681
136 404 6169
137 420 6697
138 458 7271
139 502 7895
140 544 8571
141 590 9305
142 632 10104
143 678 10969
144 743 11910
145 815 12930
146 863 14038
147 944 15242
148 1008 16548
149 1093 17967
150 1182 19507
151 1276 21178
152 1370 22994
153 1481 24964
154 1600 27105
155 1703 29427
156 1849 31949
157 1978 34689
158 2122 37661
159 2278 40889
160 2432 44394
161 2604 48199
162 2768 52330
163 2965 56815
164 3156 61685
165 3350 66972
166 3535 72713
167 3761 78945
168 3951 85711
169 4161 93057
170 4371 101034
171 4557 109693
172 4752 119095
173 4927 129303
174 5092 140386
175 5232 152418
176 5329 165482
177 5408 179666
178 5456 195066
179 5459 211784
180 5381 229937
181 5285 249645
182 5100 271043
183 4870 294273
184 4564 319496
185 4206 346881
186 3794 376612
187 3319 408892
188 2838 443939
189 2312 481989
190 1811 523301
191 1335 568153
192 913 616851
193 571 669721
194 317 727125
195 144 789447
196 51 857111
197 10 930575
198 1 464555
199 0 0
