# n=14 L=360360 bpd=28
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
6 0 1
7 0 1
8 0 1
9 0 1
10 0 1
11 0 1
12 0 1
13 0 1
14 0 1
15 0 1
16 0 1
17 0 1
18 0 1
19 0 1
20 0 1
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 1
29 0 1
30 0 1
31 0 1
32 1 2
33 0 1
34 0 1
35 1 2
36 0 1
37 0 2
38 0 2
39 0 2
40 1 3
41 0 2
42 0 3
43 0 3
44 0 3
45 0 3
46 1 4
47 1 4
48 1 5
49 0 5
50 0 5
51 0 5
52 1 7
53 0 6
54 2 8
55 0 8
56 2 8
57 1 9
58 2 10
59 3 11
60 3 12
61 2 13
62 2 14
63 1 16
64 3 16
65 1 18
66 5 20
67 3 21
68 4 23
69 5 25
70 3 27
71 5 29
72 5 32
73 8 35
74 8 38
75 4 40
76 7 45
77 9 48
78 7 52
79 13 57
80 12 62
81 9 67
82 12 73
83 14 79
84 12 85
85 16 93
86 15 101
87 16 110
88 21 119
89 17 129
90 30 141
91 23 152
92 28 166
93 28 179
94 35 195
95 33 212
96 42 230
97 43 250
98 46 271
99 45 294
100 52 320
101 50 346
102 62 377
103 73 409
104 70 444
105 81 482
106 79 523
107 91 568
108 98 617
109 113 670
110 107 727
111 117 790
112 140 857
113 133 930
114 156 1011
115 167 1096
116 172 1191
117 191 1293
118 204 1404
119 217 1524
120 235 1655
121 250 1797
122 263 1951
123 287 2117
124 304 2300
125 324 2496
126 340 2711
127 354 2942
128 379 3195
129 394 3469
130 404 3766
131 432 4089
132 450 4440
133 460 4820
134 479 5233
135 478 5681
136 484 6169
137 490 6697
138 494 7271
139 482 7895
140 475 8571
141 449 9305
142 427 10104
143 405 10969
144 356 11910
145 325 12930
146 278 14038
147 228 15242
148 180 16548
149 135 17967
150 91 19507
151 61 21178
152 32 22994
153 17 24964
154 6 27105
155 1 17029
156 0 0
