# n=12 L=27720 bpd=28
0 0 1
1 0 1
2 0 1
3 0 1
4 0 1
5 0 1
6 0 1
7 0 1
8 0 1
9 0 1
10 0 1
11 0 1
12 0 1
13 0 1
14 0 1
15 0 1
16 0 1
17 0 1
18 0 1
19 0 1
20 0 1
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 1
29 0 1
30 0 1
31 0 1
32 0 2
33 0 1
34 0 1
35 1 2
36 0 1
37 1 2
38 0 2
39 0 2
40 1 3
41 1 2
42 1 3
43 0 3
44 0 3
45 1 3
46 1 4
47 0 4
48 2 5
49 1 5
50 2 5
51 1 5
52 3 7
53 0 6
54 2 8
55 4 8
56 1 8
57 1 9
58 5 10
59 4 11
60 2 12
61 5 13
62 6 14
63 2 16
64 6 16
65 6 18
66 6 20
67 5 21
68 7 23
69 7 25
70 9 27
71 9 29
72 9 32
73 12 35
74 10 38
75 14 40
76 14 45
77 14 48
78 16 52
79 16 57
80 19 62
81 21 67
82 18 73
83 24 79
84 26 85
85 26 93
86 29 101
87 32 110
88 35 119
89 35 129
90 40 141
91 40 152
92 45 166
93 48 179
94 48 195
95 55 212
96 55 230
97 60 250
98 65 271
99 66 294
100 72 320
101 75 346
102 79 377
103 80 409
104 83 444
105 85 482
106 89 523
107 90 568
108 90 617
109 89 670
110 92 727
111 88 790
112 82 857
113 79 930
114 74 1011
115 67 1096
116 60 1191
117 46 1293
118 42 1404
119 28 1524
120 20 1655
121 15 1797
122 5 1951
123 3 2117
124 1 895
125 0 0
