window sieve self-test OK
  checkpoint N=101,854,314,880 D=-19,457,808,684 (154s)
  checkpoint N=119,366,342,695 D=-23,140,516,005 (173s)
  checkpoint N=140,192,807,099 D=-27,575,952,773 (195s)
  checkpoint N=165,011,164,594 D=-32,928,480,184 (221s)
  checkpoint N=194,646,796,759 D=-39,400,066,531 (251s)
  checkpoint N=230,106,856,636 D=-47,239,996,574 (290s)
  checkpoint N=272,622,853,552 D=-56,756,085,290 (346s)
  checkpoint N=323,703,330,313 D=-68,329,117,097 (413s)
  checkpoint N=385,199,535,700 D=-82,431,521,216 (507s)
  checkpoint N=459,387,904,794 D=-99,649,505,388 (667s)
  checkpoint N=549,072,459,643 D=-120,712,816,447 (855s)
  checkpoint N=657,713,994,445 D=-146,531,015,959 (1047s)
