seed 17 gamma 0.93
 d | L2 rel err | Hausdorff(px@1024) | coast components
  1 |     0.9621 |       1255.6 | 1
  2 |     0.9291 |        741.0 | 2
  3 |     0.8598 |        612.1 | 3
  4 |     0.7357 |        487.2 | 4
  5 |     0.6650 |        408.9 | 4
  6 |     0.6369 |        412.7 | 4
  7 |     0.5405 |        275.5 | 3
  8 |     0.5324 |        277.6 | 4
  9 |     0.4595 |        160.8 | 7
 10 |     0.3615 |        335.0 | 8
 11 |     0.3346 |        335.0 | 9
 12 |     0.2696 |        335.1 | 10
 13 |     0.1749 |        182.6 | 7
 14 |     0.1472 |        175.2 | 7
 15 |     0.1005 |         29.0 | 8
 16 |     0.0000 |          0.0 | 8
saved art_3bmq/proto/refineC_s17.png
