seed 42 gamma 0.93
 d | L2 rel err | Hausdorff(px@1024) | coast components
  1 |     0.8022 |        657.4 | 1
  2 |     0.7015 |        639.9 | 1
  3 |     0.6371 |        522.8 | 2
  4 |     0.4919 |        466.9 | 3
  5 |     0.4169 |        175.9 | 3
  6 |     0.3892 |        177.4 | 4
  7 |     0.3656 |        183.3 | 4
  8 |     0.3436 |        189.0 | 3
  9 |     0.3136 |        204.5 | 4
 10 |     0.2832 |        229.0 | 3
 11 |     0.2624 |        213.0 | 3
 12 |     0.2131 |        147.5 | 4
 13 |     0.1549 |        145.8 | 4
 14 |     0.1223 |         57.7 | 5
 15 |     0.0930 |         43.8 | 5
 16 |     0.0000 |          0.0 | 6
saved art_3bmq/proto/refineC_s42.png
