seed 57 gamma 0.93
 d | L2 rel err | Hausdorff(px@1024) | coast components
  1 |     0.9831 |        627.4 | 1
  2 |     0.6813 |        331.9 | 1
  3 |     0.5574 |        369.5 | 1
  4 |     0.5019 |        195.4 | 2
  5 |     0.3937 |        174.2 | 3
  6 |     0.3251 |        154.6 | 4
  7 |     0.2899 |        162.2 | 3
  8 |     0.2608 |        142.9 | 3
  9 |     0.2295 |        141.3 | 4
 10 |     0.1981 |        107.9 | 4
 11 |     0.1728 |        108.0 | 5
 12 |     0.1464 |        119.9 | 5
 13 |     0.1245 |        160.0 | 4
 14 |     0.0907 |        111.6 | 6
 15 |     0.0763 |        170.0 | 5
 16 |     0.0000 |          0.0 | 7
saved art_3bmq/proto/refineC_s57.png
