seed 3 gamma 0.93
 d | L2 rel err | Hausdorff(px@1024) | coast components
  1 |     0.5975 |        424.8 | 1
  2 |     0.5582 |        371.2 | 1
  3 |     0.5486 |        344.1 | 1
  4 |     0.5169 |        286.2 | 1
  5 |     0.4509 |        230.5 | 2
  6 |     0.3646 |        229.7 | 2
  7 |     0.3445 |        195.9 | 3
  8 |     0.3255 |        177.8 | 3
  9 |     0.1961 |         77.2 | 6
 10 |     0.1581 |         54.2 | 4
 11 |     0.1456 |         51.2 | 4
 12 |     0.1210 |         56.8 | 5
 13 |     0.0989 |         36.7 | 5
 14 |     0.0755 |         33.9 | 4
 15 |     0.0550 |         26.8 | 4
 16 |     0.0000 |          0.0 | 5
saved art_3bmq/proto/refineC_s3.png
