range [3000000000000,3100000000000) sqrt=1760681 primes=132333
seg 9/23843  1s  ETA 44 min
seg 521/23843  49s  ETA 36 min
seg 1033/23843  97s  ETA 35 min
seg 1545/23843  144s  ETA 35 min
seg 2057/23843  192s  ETA 34 min
seg 2569/23843  241s  ETA 33 min
seg 3081/23843  289s  ETA 32 min
seg 3593/23843  337s  ETA 32 min
seg 4105/23843  384s  ETA 31 min
seg 4617/23843  432s  ETA 30 min
seg 5129/23843  480s  ETA 29 min
seg 5641/23843  528s  ETA 28 min
seg 6153/23843  577s  ETA 28 min
seg 6665/23843  625s  ETA 27 min
seg 7177/23843  674s  ETA 26 min
seg 7689/23843  724s  ETA 25 min
seg 8201/23843  774s  ETA 25 min
seg 8713/23843  824s  ETA 24 min
seg 9225/23843  873s  ETA 23 min
seg 9737/23843  921s  ETA 22 min
seg 10249/23843  968s  ETA 21 min
seg 10761/23843  1015s  ETA 21 min
seg 11273/23843  1064s  ETA 20 min
seg 11785/23843  1112s  ETA 19 min
seg 12297/23843  1160s  ETA 18 min
seg 12809/23843  1209s  ETA 17 min
seg 13321/23843  1260s  ETA 17 min
seg 13833/23843  1310s  ETA 16 min
seg 14345/23843  1360s  ETA 15 min
seg 14857/23843  1409s  ETA 14 min
seg 15369/23843  1459s  ETA 13 min
seg 15881/23843  1525s  ETA 13 min
seg 16393/23843  1576s  ETA 12 min
seg 16905/23843  1628s  ETA 11 min
seg 17417/23843  1679s  ETA 10 min
seg 17929/23843  1730s  ETA 10 min
seg 18441/23843  1781s  ETA 9 min
seg 18953/23843  1832s  ETA 8 min
seg 19465/23843  1884s  ETA 7 min
seg 19977/23843  1937s  ETA 6 min
seg 20489/23843  1989s  ETA 5 min
seg 21001/23843  2042s  ETA 5 min
seg 21513/23843  2094s  ETA 4 min
seg 22025/23843  2148s  ETA 3 min
seg 22537/23843  2201s  ETA 2 min
seg 23049/23843  2252s  ETA 1 min
seg 23561/23843  2356s  ETA 0 min
ALLDONE 2386s |S|=12864775168
