range [1200000000000,1600000000000) sqrt=1264911 primes=97529
seg 77930/95368  4620s  ETA 17 min
seg 78442/95368  4645s  ETA 17 min
seg 78954/95368  4671s  ETA 16 min
seg 79466/95368  4697s  ETA 16 min
seg 79978/95368  4722s  ETA 15 min
seg 80490/95368  4748s  ETA 15 min
seg 81002/95368  4774s  ETA 14 min
seg 81514/95368  4800s  ETA 14 min
seg 82026/95368  4825s  ETA 13 min
seg 82538/95368  4851s  ETA 13 min
seg 83050/95368  4878s  ETA 12 min
seg 83562/95368  4904s  ETA 12 min
seg 84074/95368  4930s  ETA 11 min
seg 84586/95368  4956s  ETA 11 min
seg 85098/95368  4982s  ETA 10 min
seg 85610/95368  5008s  ETA 10 min
seg 86122/95368  5034s  ETA 9 min
seg 86634/95368  5060s  ETA 9 min
seg 87146/95368  5086s  ETA 8 min
seg 87658/95368  5112s  ETA 7 min
seg 88170/95368  5138s  ETA 7 min
seg 88682/95368  5164s  ETA 6 min
seg 89194/95368  5190s  ETA 6 min
seg 89706/95368  5217s  ETA 5 min
seg 90218/95368  5243s  ETA 5 min
seg 90730/95368  5269s  ETA 4 min
seg 91242/95368  5295s  ETA 4 min
seg 91754/95368  5322s  ETA 3 min
seg 92266/95368  5348s  ETA 3 min
seg 92778/95368  5375s  ETA 2 min
seg 93290/95368  5402s  ETA 2 min
seg 93802/95368  5429s  ETA 2 min
seg 94314/95368  5456s  ETA 1 min
seg 94826/95368  5483s  ETA 1 min
seg 95338/95368  5510s  ETA 0 min
ALLDONE 5511s |S|=52175577281
